
das Jahr, e		    yıl			das Jahr		die Jahre
das Beispiel, e		örnek			das Beispiel		die Beispiele
die Zeit, en		zaman			die Zeit		die Zeiten
die Frau, en		kadın, eş		die Frau		die Frauen
der Mensch, en		insan,insanoğlu	 	der Mensch		die Menschen
das Kind, er		çocuk			das Kind		die Kinder
der Tag, e		    gün			der Tag			die Tage
der Mann,..er		erkek			der Mann		die Männer
das Land,..er/e		ülke			das Land		die Länder, Lande
die Frage, n		soru			die Frage		die Fragen
das Haus, ..er		ev			das Haus		die Häuser
der Fall, ..e		durum, vaziyet		der Fall		die Fälle
die Leute		    insanlar		–			die Leute
die Arbeit, en		iş, çalışma		die Arbeit		die Arbeiten
das Prozent, e		yüzde			das Prozent		die Prozente
das Hand, ..e		el			das Hand		die Hände
die Stadt, ..e		şehir			die Stadt		die Städte
der Herr, en		bay, efendi		der Herr		die Herren
der Teil, e		    parça, bölüm		der Teil		die Teile
das Problem, e		sorun			das Problem		die Probleme
die Welt, en		dünya			die Welt		die Welten
das Recht, e		hak, doğru		das Recht		die Rechte
das Ende, n		    son			das Ende		die Enden
die Million, en		milyon			die Million		die Millionen
die Schule, n		okul			die Schule		die Schulen
die Woche		    hafta			die Woche		die Wochen
der Vater, ..		baba			der Vater		die Väter
die Seite, n		sayfa			die Seite		die Seiten
das Leben, –		hayat			das Leben		die Leben
die Mutter, ..		anne			die Mutter		die Mütter
der Grund, ..e		sebep			der Grund		die Gründe
das Auge,n		    göz			das Auge		die Augen
das Wort,..er/e 	kelime			das Wort		die Wörter/Worte
das Geld, er		para			das Geld		die Gelder
die Sache, n		şey			die Sache		die Sachen
die Art, en		    tip, tür		die Art			die Arten
der Bereich, e		alan			der Bereich		die Bereiche
der Weg, e		    yol, patika		der Weg			die Wege
die Stunde, n		saat			die Stunde		die Stunden
der Name, n		    isim, ad		der Name		die Namen
die Geschichte, n	tarih, öykü		die Geschichte		die Geschichten
die Gesellschaft,en toplum			die Gesellschaft	die Gesellschaften
der Kopf, ..e		kafa			der Kopf		die Köpfe
das Paar, e		    çift			das Paar		die Paare
die Möglichkeit en 	fırsat,imkan 		die Möglichkeit		die Möglichkeiten
das Unternehmen, 	girişim,şirket		das Unternehmen		die Unternehmen
das Bild, er		resim			das Bild		die Bilder
das Wasser, –		su			das Wasser		die Wasser
die Stelle, n		baasmak, yer		die Stelle		die Stellen
die Form		    form, biçim		die Form		die Formen
die Entwicklung,    en	gelişim			die Entwicklung		die Entwicklungen
der Monat, e		ay			der Monat		die Monate
die Familie, n		aile			die Familie		die Familien
der Morgen, –		sabah			der Morgen		die Morgen
der Abend, e		akşam			der Abend		die Abende
die Aufgabe, n		görev			die Aufgaben
die Universität, 	en üniversite		die Universität		die Universitäten
die Uni			    üniversite		die Uni			die Unis
der Sinn, e		    anlam, duyu		der Sinn		die Sinne
der Staat, en		eyalet, devlet		der Staat		die Staaten
das Ziel, e		    amaç, hedef		das Ziel		die Ziele
der Freund, e		arkadaş			der Freund		die Freunde
das Thema, ta		konu			das Thema		das Themata
die Person, en		insan			die Person		die Personen
die Nacht, ..e		gece			die Nacht		die Nächte
das Ding, e		    şey			das Ding		die Dinge
der Raum, ..e		oda, boşluk		der Raum		die Räume
der Blick, e		görünüm			der Blick		die Blicke
der Platz, e		yer, meydan		der Platz		die Plätze
die Zahl, en		sayı			die Zahl		die Zahlen
das System, e		sistem			das System		die Systeme
die Uhr, en		    saat			die Uhr			die Uhren
die Eltern		    ebeveyn			–			die Eltern
die Straße, n		sokak			die Straße		die Straßen
die Minute, n		dakika			die Minute		die Minuten
die Gruppe, n		grup			die Gruppe		die Gruppen
der Wert, e		    değer			der Wert		die Werte
das Gesicht, er		yüz			das Gesicht		die Gesichter
die Sprache, n		dil			die Sprache		die Sprachen
der Anfang, ..e		başlangıç		der Anfang		die Anfänge
der Ort, e		    yer, belde		der Ort			die Orte
der Moment, e		an			der Moment		die Momente
die Folge, n		sonuç			die Folge		die Folgen
das Interesse, n	ilgi			das Interesse		die Interessen
der Stuhl, ..e		sandalye		der Stuhl		die Stühle
die Rolle, n		rol, rulo		die Rolle		die Rollen
die Tür, en		    kapı			die Tür			die Türen
der Schüler, –		öğrenci			der Schüler		die Schüler
die Bedeutung, en	anlam			die Bedeutung		die Bedeutungen
der Text, e		    metin			der Text		die Texte
das Ergebnis, se	sonuç			das Ergebnis		die Ergebnisse
der Krieg, e		savaş			der Krieg		die Kriege
die Weise, n		yol			die Weise		die Weisen
die Regierung, en 	hükümet			die Regierung		die Regierungen
das Stück, e		parça, adet		das Stück		die Stücke
die Wohnung, en		apartman		die Wohnung		die Wohnungen
das Gespräch, e		konuşma, sohbet		das Gespräch		die Gespräche
das Buch, ..er		kitap			das Buch		die Bücher
das Auto, s		    araba			das Auto		die Autos
